latitude,longitude,species,H5N1,H5N2,H7N2,H7N8,timestamp,provenance
47.246533999999997,7.583822000000000,Eurasian Blue Tit,0.0,0.0,0.0,0.0,06.02.7121,Wild
47.686283000000003,9.520193000000001,Eurasian Magpie,1.0,0.0,0.0,0.0,22.11.6341,Wild
46.3794020000000,10.36212300000000,Eurasian Blue Tit,0.0,0.0,0.0,1.0,26.11.6344,Wild
46.07413200000000,6.380292000000000,Duck,0.0,0.0,,,24.08.6442,Livestock
47.05862200000000,8.326586000000001,Great Tit,,0.0,0.0,,11.05.6134,Wild
47.78869000000000,6.831144000000000,Duck,1.0,0.0,0.0,0.0,14.06.7211,Livestock
46.557707999999998,9.774960999999999,Chicken,,0.0,,,03.03.6952,Livestock
46.4510630000000,7.517661000000000,Common Chaffinch,0.0,1.0,0.0,0.0,05.02.7285,Wild
47.65265300000000,9.626341000000000,Chicken,0.0,,,,23.07.7051,Livestock
46.796852000000001,6.673779000000000,Turkey,0.0,1.0,0.0,0.0,24.02.7110,Livestock
47.678871999999998,7.4010670000000,Chicken,0.0,1.0,0.0,0.0,17.10.6878,Livestock
46.077063000000003,10.265254000000001,European Robin,0.0,0.0,1.0,0.0,04.09.7058,Wild
46.84403200000000,10.131830000000001,House Sparrow,0.0,0.0,0.0,,15.05.6652,Wild
47.04706400000000,6.15401800000000,Chicken,0.0,0.0,1.0,0.0,06.10.6331,Livestock
47.618606999999997,7.454344000000000,Goose,,0.0,,0.0,13.07.6389,Livestock
45.90832300000000,6.6945499999999996,Goose,,,0.0,0.0,26.11.6836,Livestock
46.91133200000000,7.797302000000000,Chicken,0.0,0.0,0.0,,23.06.6984,Livestock
47.386290000000002,7.823433000000000,Eurasian Magpie,0.0,0.0,0.0,1.0,12.01.6870,Wild
47.22956300000000,8.79065600000000,Chicken,1.0,0.0,0.0,0.0,11.11.7129,Livestock
45.927928000000001,6.7886280000000001,Duck,0.0,0.0,0.0,1.0,12.12.6238,Livestock
47.70618300000000,8.283117000000001,Chicken,,0.0,0.0,,26.09.7401,Livestock
47.216814999999997,7.915254000000000,European Robin,0.0,1.0,0.0,0.0,22.07.6887,Wild
47.2006690000000,9.66780500000000,House Sparrow,1.0,0.0,0.0,0.0,25.06.6587,Wild
47.7379990000000,7.394785000000000,Turkey,1.0,0.0,0.0,0.0,28.09.6115,Livestock
46.9886140000000,7.901995000000000,Chicken,0.0,0.0,,0.0,06.01.6421,Livestock
46.59948400000000,7.108109000000000,Turkey,0.0,,,,06.05.6715,Livestock
47.436391999999998,8.760336000000001,Chicken,1.0,0.0,0.0,0.0,16.01.6545,Livestock
